2023-06-22 10:28:53 a433-microservices-item-db-1   | 2023-06-22T03:28:53.939+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=1009c1c4866c
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.828+0000 I CONTROL  [initandlisten] 
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.828+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] 
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] 
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.829+0000 I CONTROL  [initandlisten] 
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.847+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 73657f79-2156-425d-9992-9d3a1a1d9e0c
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.910+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
2023-06-22 10:28:54 a433-microservices-item-db-1   | 2023-06-22T03:28:54.928+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: c1716dfb-61d4-4bc1-85d1-bac4ebc9c0ab
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.013+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.015+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.015+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.015+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.015+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 0b35224a-9937-4851-bc35-c75bdead100c
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.043+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.043+0000 I INDEX    [LogicalSessionCacheRefresh]  building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2023-06-22 10:28:55 a433-microservices-item-db-1   | 2023-06-22T03:28:55.045+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
2023-06-22 10:28:56 a433-microservices-item-db-1   | 2023-06-22T03:28:56.691+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:34056 #1 (1 connection now open)
2023-06-22 10:28:56 a433-microservices-item-db-1   | 2023-06-22T03:28:56.730+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:34056 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.10.16.3-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
